Unit_ID,Complex,Dong,Ho,Floor,L_Score,C_Score,S_Score,Total_Grade,Status
U1-101-101,1단지,101동,101호,1,5.1,7.0,7.0,C,전수조사완료
U1-101-104,1단지,101동,104호,1,5.1,7.0,7.0,C,전수조사완료
U1-101-105,1단지,101동,105호,1,5.1,7.0,7.0,C,전수조사완료
U1-101-201,1단지,101동,201호,2,5.2,7.0,7.0,C,전수조사완료
U1-101-204,1단지,101동,204호,2,5.2,7.0,7.0,C,전수조사완료
U1-101-205,1단지,101동,205호,2,5.2,7.0,7.0,C,전수조사완료
U1-101-301,1단지,101동,301호,3,5.3,7.0,7.0,C,전수조사완료
U1-101-302,1단지,101동,302호,3,5.3,7.0,7.0,C,전수조사완료
U1-101-303,1단지,101동,303호,3,5.3,7.0,7.0,C,전수조사완료
U1-101-304,1단지,101동,304호,3,5.3,7.0,7.0,C,전수조사완료
U1-101-305,1단지,101동,305호,3,5.3,7.0,7.0,C,전수조사완료
U1-101-401,1단지,101동,401호,4,5.4,7.0,7.0,C,전수조사완료
U1-101-402,1단지,101동,402호,4,5.4,7.0,7.0,C,전수조사완료
U1-101-403,1단지,101동,403호,4,5.4,7.0,7.0,C,전수조사완료
U1-101-404,1단지,101동,404호,4,5.4,7.0,7.0,C,전수조사완료
U1-101-405,1단지,101동,405호,4,5.4,7.0,7.0,C,전수조사완료
U1-101-501,1단지,101동,501호,5,5.5,7.0,7.0,C,전수조사완료
U1-101-502,1단지,101동,502호,5,5.5,7.0,7.0,C,전수조사완료
U1-101-503,1단지,101동,503호,5,5.5,7.0,8.2,C,전수조사완료
U1-101-504,1단지,101동,504호,5,5.5,7.0,7.0,C,전수조사완료
U1-101-505,1단지,101동,505호,5,5.5,7.0,7.0,C,전수조사완료
U1-101-601,1단지,101동,601호,6,5.6,7.0,7.0,C,전수조사완료
U1-101-602,1단지,101동,602호,6,5.6,7.0,7.0,C,전수조사완료
U1-101-603,1단지,101동,603호,6,5.6,7.0,7.2,C,전수조사완료
U1-101-604,1단지,101동,604호,6,5.6,7.0,7.0,C,전수조사완료
U1-101-605,1단지,101동,605호,6,5.6,7.0,7.0,C,전수조사완료
U1-101-701,1단지,101동,701호,7,5.8,7.0,7.0,C,전수조사완료
U1-101-702,1단지,101동,702호,7,5.8,7.0,7.0,C,전수조사완료
U1-101-703,1단지,101동,703호,7,5.8,7.0,7.0,C,전수조사완료
U1-101-704,1단지,101동,704호,7,5.8,7.0,7.0,C,전수조사완료
U1-101-705,1단지,101동,705호,7,5.8,7.0,7.0,C,전수조사완료
U1-101-801,1단지,101동,801호,8,5.9,7.0,7.0,C,전수조사완료
U1-101-802,1단지,101동,802호,8,5.9,7.0,7.0,C,전수조사완료
U1-101-803,1단지,101동,803호,8,5.9,7.0,7.0,C,전수조사완료
U1-101-804,1단지,101동,804호,8,5.9,7.0,7.0,C,전수조사완료
U1-101-805,1단지,101동,805호,8,5.9,7.0,7.0,C,전수조사완료
U1-101-901,1단지,101동,901호,9,6.0,7.0,7.0,C,전수조사완료
U1-101-902,1단지,101동,902호,9,6.0,7.0,7.2,C,전수조사완료
U1-101-903,1단지,101동,903호,9,6.0,7.0,7.0,C,전수조사완료
U1-101-904,1단지,101동,904호,9,6.0,7.0,7.0,C,전수조사완료
U1-101-905,1단지,101동,905호,9,6.0,7.0,7.0,C,전수조사완료
U1-101-1001,1단지,101동,1001호,10,6.1,7.0,7.2,C,전수조사완료
U1-101-1002,1단지,101동,1002호,10,6.1,7.0,7.0,C,전수조사완료
U1-101-1003,1단지,101동,1003호,10,6.1,7.0,7.0,C,전수조사완료
U1-101-1004,1단지,101동,1004호,10,6.1,7.0,7.0,C,전수조사완료
U1-101-1005,1단지,101동,1005호,10,6.1,7.0,8.0,C,전수조사완료
U1-101-1101,1단지,101동,1101호,11,6.2,7.0,7.0,C,전수조사완료
U1-101-1102,1단지,101동,1102호,11,6.2,7.0,7.0,C,전수조사완료
U1-101-1103,1단지,101동,1103호,11,6.2,7.0,7.0,C,전수조사완료
U1-101-1104,1단지,101동,1104호,11,6.2,7.0,7.0,C,전수조사완료
U1-101-1105,1단지,101동,1105호,11,6.2,7.0,7.0,C,전수조사완료
U1-101-1201,1단지,101동,1201호,12,6.3,7.0,7.0,C,전수조사완료
U1-101-1202,1단지,101동,1202호,12,6.3,7.0,7.0,C,전수조사완료
U1-101-1203,1단지,101동,1203호,12,6.3,7.0,7.0,C,전수조사완료
U1-101-1204,1단지,101동,1204호,12,6.3,7.0,8.0,C,전수조사완료
