Unit_ID,Complex,Dong,Ho,Floor,L_Score,C_Score,S_Score,Total_Grade,Status
U1-101-101,1단지,101동,101호,1,5.1,7.0,7.0,C,공식기초분석완료
U1-101-102,1단지,101동,102호,1,5.1,7.0,7.0,C,공식기초분석완료
U1-101-103,1단지,101동,103호,1,5.1,7.0,7.0,C,공식기초분석완료
U1-101-104,1단지,101동,104호,1,5.1,7.0,7.0,C,공식기초분석완료
U1-101-105,1단지,101동,105호,1,5.1,7.0,7.0,C,공식기초분석완료
U1-101-106,1단지,101동,106호,1,5.1,7.0,7.0,C,공식기초분석완료
U1-101-201,1단지,101동,201호,2,5.2,7.0,7.0,C,공식기초분석완료
U1-101-202,1단지,101동,202호,2,5.2,7.0,7.0,C,공식기초분석완료
U1-101-203,1단지,101동,203호,2,5.2,7.0,7.0,C,공식기초분석완료
U1-101-204,1단지,101동,204호,2,5.2,7.0,7.0,C,공식기초분석완료
U1-101-205,1단지,101동,205호,2,5.2,7.0,7.0,C,공식기초분석완료
U1-101-206,1단지,101동,206호,2,5.2,7.0,7.0,C,공식기초분석완료
U1-101-301,1단지,101동,301호,3,5.3,7.0,7.0,C,공식기초분석완료
U1-101-302,1단지,101동,302호,3,5.3,7.0,7.0,C,공식기초분석완료
U1-101-303,1단지,101동,303호,3,5.3,7.0,7.0,C,공식기초분석완료
U1-101-304,1단지,101동,304호,3,5.3,7.0,7.0,C,공식기초분석완료
U1-101-305,1단지,101동,305호,3,5.3,7.0,7.0,C,공식기초분석완료
U1-101-306,1단지,101동,306호,3,5.3,7.0,7.0,C,공식기초분석완료
U1-101-401,1단지,101동,401호,4,5.4,7.0,7.0,C,공식기초분석완료
U1-101-402,1단지,101동,402호,4,5.4,7.0,7.0,C,공식기초분석완료
U1-101-403,1단지,101동,403호,4,5.4,7.0,7.0,C,공식기초분석완료
U1-101-404,1단지,101동,404호,4,5.4,7.0,7.0,C,공식기초분석완료
U1-101-405,1단지,101동,405호,4,5.4,7.0,7.0,C,공식기초분석완료
U1-101-406,1단지,101동,406호,4,5.4,7.0,7.0,C,공식기초분석완료
U1-101-501,1단지,101동,501호,5,5.5,7.0,7.0,C,공식기초분석완료
U1-101-502,1단지,101동,502호,5,5.5,7.0,7.0,C,공식기초분석완료
U1-101-503,1단지,101동,503호,5,5.5,7.0,7.0,C,공식기초분석완료
U1-101-504,1단지,101동,504호,5,5.5,7.0,7.0,C,공식기초분석완료
U1-101-505,1단지,101동,505호,5,5.5,7.0,7.0,C,공식기초분석완료
U1-101-506,1단지,101동,506호,5,5.5,7.0,7.0,C,공식기초분석완료
U1-101-601,1단지,101동,601호,6,5.6,7.0,7.0,C,공식기초분석완료
U1-101-602,1단지,101동,602호,6,5.6,7.0,7.0,C,공식기초분석완료
U1-101-603,1단지,101동,603호,6,5.6,7.0,7.0,C,공식기초분석완료
U1-101-604,1단지,101동,604호,6,5.6,7.0,7.0,C,공식기초분석완료
U1-101-605,1단지,101동,605호,6,5.6,7.0,7.0,C,공식기초분석완료
U1-101-606,1단지,101동,606호,6,5.6,7.0,7.0,C,공식기초분석완료
U1-101-701,1단지,101동,701호,7,5.8,7.0,7.0,C,공식기초분석완료
U1-101-702,1단지,101동,702호,7,5.8,7.0,7.0,C,공식기초분석완료
U1-101-703,1단지,101동,703호,7,5.8,7.0,7.0,C,공식기초분석완료
U1-101-704,1단지,101동,704호,7,5.8,7.0,7.0,C,공식기초분석완료
U1-101-705,1단지,101동,705호,7,5.8,7.0,7.0,C,공식기초분석완료
U1-101-706,1단지,101동,706호,7,5.8,7.0,7.0,C,공식기초분석완료
U1-101-801,1단지,101동,801호,8,5.9,7.0,7.0,C,공식기초분석완료
U1-101-802,1단지,101동,802호,8,5.9,7.0,7.0,C,공식기초분석완료
U1-101-803,1단지,101동,803호,8,5.9,7.0,7.0,C,공식기초분석완료
U1-101-804,1단지,101동,804호,8,5.9,7.0,7.0,C,공식기초분석완료
U1-101-805,1단지,101동,805호,8,5.9,7.0,7.0,C,공식기초분석완료
U1-101-806,1단지,101동,806호,8,5.9,7.0,7.0,C,공식기초분석완료
U1-101-901,1단지,101동,901호,9,6.0,7.0,7.0,C,공식기초분석완료
U1-101-902,1단지,101동,902호,9,6.0,7.0,7.0,C,공식기초분석완료
U1-101-903,1단지,101동,903호,9,6.0,7.0,7.0,C,공식기초분석완료
U1-101-904,1단지,101동,904호,9,6.0,7.0,7.0,C,공식기초분석완료
U1-101-905,1단지,101동,905호,9,6.0,7.0,7.0,C,공식기초분석완료
U1-101-906,1단지,101동,906호,9,6.0,7.0,7.0,C,공식기초분석완료
U1-101-1001,1단지,101동,1001호,10,6.1,7.0,7.0,C,공식기초분석완료
U1-101-1002,1단지,101동,1002호,10,6.1,7.0,7.0,C,공식기초분석완료
U1-101-1003,1단지,101동,1003호,10,6.1,7.0,7.0,C,공식기초분석완료
U1-101-1004,1단지,101동,1004호,10,6.1,7.0,7.0,C,공식기초분석완료
U1-101-1005,1단지,101동,1005호,10,6.1,7.0,7.0,C,공식기초분석완료
U1-101-1006,1단지,101동,1006호,10,6.1,7.0,7.0,C,공식기초분석완료
U1-101-1101,1단지,101동,1101호,11,6.2,7.0,7.0,C,공식기초분석완료
U1-101-1102,1단지,101동,1102호,11,6.2,7.0,7.0,C,공식기초분석완료
U1-101-1103,1단지,101동,1103호,11,6.2,7.0,7.0,C,공식기초분석완료
U1-101-1104,1단지,101동,1104호,11,6.2,7.0,7.0,C,공식기초분석완료
U1-101-1105,1단지,101동,1105호,11,6.2,7.0,7.0,C,공식기초분석완료
U1-101-1106,1단지,101동,1106호,11,6.2,7.0,7.0,C,공식기초분석완료
U1-101-1201,1단지,101동,1201호,12,6.3,7.0,7.0,C,공식기초분석완료
U1-101-1202,1단지,101동,1202호,12,6.3,7.0,7.0,C,공식기초분석완료
U1-101-1203,1단지,101동,1203호,12,6.3,7.0,7.0,C,공식기초분석완료
U1-101-1204,1단지,101동,1204호,12,6.3,7.0,7.0,C,공식기초분석완료
U1-101-1205,1단지,101동,1205호,12,6.3,7.0,7.0,C,공식기초분석완료
U1-101-1206,1단지,101동,1206호,12,6.3,7.0,7.0,C,공식기초분석완료
U1-101-1301,1단지,101동,1301호,13,6.4,7.0,7.0,C,공식기초분석완료
U1-101-1302,1단지,101동,1302호,13,6.4,7.0,7.0,C,공식기초분석완료
U1-101-1303,1단지,101동,1303호,13,6.4,7.0,7.0,C,공식기초분석완료
U1-101-1304,1단지,101동,1304호,13,6.4,7.0,7.0,C,공식기초분석완료
U1-101-1305,1단지,101동,1305호,13,6.4,7.0,7.0,C,공식기초분석완료
U1-101-1306,1단지,101동,1306호,13,6.4,7.0,7.0,C,공식기초분석완료
U1-101-1401,1단지,101동,1401호,14,6.5,7.0,7.0,C,공식기초분석완료
U1-101-1402,1단지,101동,1402호,14,6.5,7.0,7.0,C,공식기초분석완료
U1-101-1403,1단지,101동,1403호,14,6.5,7.0,7.0,C,공식기초분석완료
U1-101-1404,1단지,101동,1404호,14,6.5,7.0,7.0,C,공식기초분석완료
U1-101-1405,1단지,101동,1405호,14,6.5,7.0,7.0,C,공식기초분석완료
U1-101-1406,1단지,101동,1406호,14,6.5,7.0,7.0,C,공식기초분석완료
U1-101-1501,1단지,101동,1501호,15,6.6,7.0,7.0,C,공식기초분석완료
U1-101-1502,1단지,101동,1502호,15,6.6,7.0,7.0,C,공식기초분석완료
U1-101-1503,1단지,101동,1503호,15,6.6,7.0,7.0,C,공식기초분석완료
U1-101-1504,1단지,101동,1504호,15,6.6,7.0,7.0,C,공식기초분석완료
U1-101-1505,1단지,101동,1505호,15,6.6,7.0,7.0,C,공식기초분석완료
U1-101-1506,1단지,101동,1506호,15,6.6,7.0,7.0,C,공식기초분석완료
U1-101-1601,1단지,101동,1601호,16,6.7,7.0,7.0,C,공식기초분석완료
U1-101-1602,1단지,101동,1602호,16,6.7,7.0,7.0,C,공식기초분석완료
U1-101-1603,1단지,101동,1603호,16,6.7,7.0,7.0,C,공식기초분석완료
U1-101-1604,1단지,101동,1604호,16,6.7,7.0,7.0,C,공식기초분석완료
U1-101-1605,1단지,101동,1605호,16,6.7,7.0,7.0,C,공식기초분석완료
U1-101-1606,1단지,101동,1606호,16,6.7,7.0,7.0,C,공식기초분석완료
U1-101-1701,1단지,101동,1701호,17,6.8,7.0,7.0,C,공식기초분석완료
